expiration,T_days,T_years,method,H_shannon,KL_vs_physical,mean,std,S_current,H_renyi_alpha05,H_renyi_alpha15,H_renyi_alpha20
2025-10-03,3,0.010958904109589,breeden_litzenberger,2.469113728201962,19.435932488287815,147.38400587981468,30.833460685359654,255.4600067138672,3.092790193416398,2.2444404660292667,2.153209559419126
2025-10-03,3,0.010958904109589,maxent,3.478687212773849,0.6475039552381198,255.4717212266758,11.161999384567384,255.4600067138672,4.029749001379455,3.25790497131613,3.1316141361785976
2025-10-10,10,0.0301369863013698,breeden_litzenberger,4.150290384758072,6.706319658817591,237.9348661428575,26.709259656603074,255.4600067138672,4.3691717153980365,4.018460071244741,3.927210784070476
2025-10-17,17,0.0493150684931506,breeden_litzenberger,4.142678631883266,11.44216775387797,218.4310005887109,36.77159801382663,255.4600067138672,4.4387267176508765,3.869996930458026,3.6223625779919044
2025-10-17,17,0.0493150684931506,maxent,3.975737325169158,1.5312664312284223,256.0841517351699,15.298575116789216,255.4600067138672,4.1815776083393486,3.8632448082277038,3.775857267856083
2025-10-24,25,0.0684931506849315,breeden_litzenberger,4.33287465167626,5.760794060893258,244.44829609634093,27.01900938027142,255.4600067138672,4.5130083511671515,4.247387344319991,4.1949452321880445
2025-10-24,25,0.0684931506849315,maxent,4.294595059050213,3.2670998579790407,256.21440182027675,18.336749918464285,255.4600067138672,4.454116153447455,4.22615491516838,4.1891750271136505
2025-10-31,31,0.0876712328767123,breeden_litzenberger,4.434957873695965,4.494327720403886,253.25437063627353,23.69829460991644,255.4600067138672,4.596233953408235,4.351584495680113,4.296358640958329
2025-10-31,31,0.0876712328767123,maxent,4.479233283262335,3.9507718530946665,256.5086626353977,21.677468772543946,255.4600067138672,4.731991597195319,4.37084789903721,4.307440922184641
2025-11-07,38,0.1068493150684931,breeden_litzenberger,3.787291555492516,6.178775707620517,252.25910618490354,30.693819028710767,255.4600067138672,4.144422486594768,3.57228950013485,3.4251695068311063
2025-11-07,38,0.1068493150684931,maxent,4.301501854031938,4.313654859299624,256.6806661008702,25.36033364320373,255.4600067138672,4.462103739414652,4.273836610862694,4.235782263368095
2025-11-21,52,0.1452054794520547,breeden_litzenberger,4.6707236323357195,8.586253649589942,237.51733641566065,38.794883400382176,255.4600067138672,4.849515141983084,4.546611007468308,4.447527774692762
2025-11-21,52,0.1452054794520547,maxent,4.707901675490387,6.060178500253454,256.9723138191891,27.80904992274888,255.4600067138672,4.941043848396825,4.61291591849795,4.56262743157369
2025-12-19,81,0.2219178082191781,breeden_litzenberger,4.751974225667106,11.862120830940075,215.52744867521437,52.33258426735187,255.4600067138672,4.973903647454582,4.569465101186502,4.410391784912565
2025-12-19,81,0.2219178082191781,maxent,4.878953390219605,5.774951925911964,257.66334526173205,33.94502623611186,255.4600067138672,5.146751937137272,4.708763339239862,4.594819228674125
2026-01-16,108,0.2986301369863013,breeden_litzenberger,4.702644935105406,12.622621933786117,207.57822213438988,58.38118234135041,255.4600067138672,4.982913206728573,4.4458378945960995,4.216348047444496
2026-01-16,108,0.2986301369863013,maxent,4.996081855368143,6.573469830667067,258.8208565879434,37.3849631409346,255.4600067138672,5.2240886723514155,4.8433514847076085,4.737108486702255
2026-02-20,143,0.3945205479452054,breeden_litzenberger,4.904153168996318,11.53637179762229,231.76942763549656,51.96456351322824,255.4600067138672,5.10095037684527,4.740475025165534,4.593154423806481
2026-02-20,143,0.3945205479452054,maxent,5.150608494498462,8.540359992250892,259.8631089992266,42.29476463583301,255.4600067138672,5.306811055619158,5.051254892560159,4.98418250092792
2026-03-20,172,0.4712328767123288,breeden_litzenberger,4.4980186745695985,14.701392838287365,199.30732374301834,57.794740874529005,255.4600067138672,4.919702780530234,4.132244390190624,3.8655236172517213
2026-03-20,172,0.4712328767123288,maxent,5.179480130155985,8.110906508121715,260.556534003686,48.428792588702805,255.4600067138672,5.3390204552693294,5.072297612421162,4.975936940973499
2026-04-17,200,0.547945205479452,breeden_litzenberger,5.164670144660564,8.650281137592035,260.12970917536654,44.0412083029224,255.4600067138672,5.292106882069526,5.073253606285679,5.0042224763954515
2026-04-17,200,0.547945205479452,maxent,5.170700898526767,8.738534745953306,261.7013472330068,50.43655076097196,255.4600067138672,5.33356814625977,5.095774943243714,5.017650109094874
2026-05-15,228,0.6246575342465753,breeden_litzenberger,2.2988310260847893,19.132635891654758,159.82496382820042,53.20291613212879,255.4600067138672,4.106699591819299,1.4926250056940604,1.2432037416919621
2026-05-15,228,0.6246575342465753,maxent,5.324639315888902,10.35617082576265,262.61554290670705,53.43771645061566,255.4600067138672,5.41798523548808,5.276851948390187,5.2289299505554085
2026-06-18,262,0.7178082191780822,breeden_litzenberger,4.979761679933327,12.946078425208055,224.91583147488092,64.45265938107642,255.4600067138672,5.2197083680857865,4.7072587046309495,4.433015150435175
2026-06-18,262,0.7178082191780822,maxent,4.309735885448254,9.686061257243951,255.82351041297756,70.83824305889988,255.4600067138672,4.699562410028834,4.245552713784921,3.837578177738171
2026-08-21,326,0.8931506849315068,breeden_litzenberger,4.224270866737308,14.475575639182912,203.4932984623694,70.72348996761198,255.4600067138672,4.937875363623411,3.4032663609603886,2.877378769283645
2026-09-18,353,0.96986301369863,breeden_litzenberger,4.820898199809453,10.63334111525631,244.90321686020218,61.80809759021453,255.4600067138672,5.052026090407085,4.621759138452625,4.460476773636957
2026-09-18,353,0.96986301369863,maxent,5.484053404359753,11.634518281178556,266.5724138739492,63.72664319378011,255.4600067138672,5.513947555248402,5.468891690108802,5.4460340504276425
2026-12-18,445,1.2191780821917808,breeden_litzenberger,5.143786136916444,12.9986774182332,238.47647534894463,67.54626304110222,255.4600067138672,5.269643574096948,5.0134514516422675,4.883719032991906
2026-12-18,445,1.2191780821917808,maxent,4.752863577702449,15.27005659218028,256.2797622951506,91.38552064394976,255.4600067138672,5.053991394645599,4.609117524379337,4.333106017326825
2027-01-15,472,1.295890410958904,breeden_litzenberger,4.546320619026735,14.802624100544694,210.55514486446714,76.76285545258659,255.4600067138672,5.09145534771415,3.8928338834200207,3.3977186424365984
2027-01-15,472,1.295890410958904,maxent,5.505093163572381,13.243185395573882,270.05312767509207,74.46206358609572,255.4600067138672,5.52692990375628,5.51128601830317,5.497002133147762
2027-06-17,626,1.715068493150685,breeden_litzenberger,3.5489861682634074,17.65389787177305,173.0480495338661,69.27458515309652,255.4600067138672,4.6958844885954365,2.716554819012023,2.3399287307762284
2027-06-17,626,1.715068493150685,maxent,5.383106733312131,14.937252437638623,274.592950719521,85.53735558576382,255.4600067138672,5.473700758372357,5.3346736765256795,5.242404376988202
2027-12-17,809,2.2164383561643834,breeden_litzenberger,4.538640685229017,13.875912530343653,266.15692578498346,76.80645643139185,255.4600067138672,4.69075043068198,4.420687274499235,4.3255546085379954
2028-01-21,843,2.3123287671232875,breeden_litzenberger,4.545306786926276,15.553010821324957,234.64337925988625,69.6293429531685,255.4600067138672,4.740588989791662,4.367259213502916,4.2108559319260985
2028-01-21,843,2.3123287671232875,maxent,4.095482941368633,17.293609335516322,285.41764167844383,88.94945977708757,255.4600067138672,4.554078006320033,3.9196452504692996,3.589078951906232
